technology_base,description
vp_crop,value of production of all 42 crops
vp_food,value of production of food crops
vp_nonf,value of produciton of non-food crops
area_cr,harvested area of all crops
area_fo,harvested area of food crops
area_nf,harvested area of non-food crops
vp_cr_ar,VoP per ha of all crops
vp_fo_ar,VoP per ha of food crops
vp_nf_ar,VoP per ha of non-food crops
