id,max_fao_code,group,group_name,class,class_name,sub_class,sub_class_name,order,order_name,crop_type
109,75,7,Leguminous crops,75,Lentils,,,,,1
110,76,7,Leguminous crops,76,Lupins,,,,,1
111,77,7,Leguminous crops,77,Peas,,,,,1
112,78,7,Leguminous crops,78,Pigeon peas,,,,,1
113,79,7,Leguminous crops,79,"Leguminous crops, n.e.c.",,,,,1
114,81,8,Sugar crops,81,Sugar beet,,,,,1
115,82,8,Sugar crops,82,Sugar cane,,,,,1
116,83,8,Sugar crops,83,Sweet sorghum,,,,,1
117,89,8,Sugar crops,89,Other sugar crops n.e.c.,,,,,1
118,911,9,Other crops,91,Grasses and other fodder crops,911,Temporary grass crops,,,1
119,912,9,Other crops,91,Grasses and other fodder crops,912,Permanent grass crops,,,2
120,9211,9,Other crops,92,Fibre crops,921,Temporary fibre crops,9211,Cotton,1
121,9212,9,Other crops,92,Fibre crops,921,Temporary fibre crops,9212,"Jute, kenaf, and other similar crops",1
122,9213,9,Other crops,92,Fibre crops,921,Temporary fibre crops,9213,"Flax, hemp, and other similar products",1
123,9219,9,Other crops,92,Fibre crops,921,Temporary fibre crops,9219,Other temporary fibre crops,1
124,922,9,Other crops,92,Fibre crops,922,Permanent fibre crops,,,2
125,931,9,Other crops,93,"Medicinal, aromatic, pesticidal, or similar crops",931,"Temporary medicinal, etc. crops",,,1
126,932,9,Other crops,93,"Medicinal, aromatic, pesticidal, or similar crops",932,"Permanent medicinal, etc. crops",,,2
127,94,9,Other crops,94,Rubber,,,,,2
128,951,9,Other crops,95,Flower crops,951,Temporary flower crops,,,1
129,952,9,Other crops,95,Flower crops,952,Permanent flower crops,,,2
130,96,9,Other crops,96,Tobacco,,,,,1
131,991,9,Other crops,99,Other crops,991,Other crops – temporary,,,1
132,992,9,Other crops,99,Other crops,992,Other crops – permanent,,,2
